movieID,Title,Runtime,Director,Writer,Actors,Release Date,Netflix Release Date,Production House
82,Love,1-2 hour,Gaspar Noé,Gaspar Noé,"Karl Glusman, Aomi Muyock, Klara Kristin, Ugo Fox",30-10-2015,19-02-2021,
83,Sisyphus,< 30 minutes,Marcell Jankovics,,,01-10-1974,18-02-2021,
84,Eeb Allay Ooo!,1-2 hour,Prateek Vats,"Prateek Vats, Shubham","Nutan Sinha, Shashi Bhushan, Mahender Nath, Shardul Bharadwaj",18-12-2020,18-02-2021,
85,Ten Years Japan,1-2 hour,"Megumi Tsuno, Kei Ishikawa, Akiyo Fujimura, Chie Hayakawa, Yusuke Kinoshita","Megumi Tsuno, Jason Gray, Kei Ishikawa, Yusuke Kinoshita, Akiyo Fujimura, Chie Hayakawa","Jun Kunimura, Taiga Nakano, Hana Sugisaki, Chizuru Ikewaki",03-11-2018,17-02-2021,Golden Scene Company Limited
86,Love at Second Sight,1-2 hour,Hugo Gélin,"Laetitia Colombani, David Foenkinos, Igor Gotesman, Benjamin Parent, Hugo Gélin","Benjamin Lavernhe, François Civil, Joséphine Japy, Camille Lellouche",03-04-2019,17-02-2021,
87,Liberation,1-2 hour,Yuriy Ozerov,"Yuri Bondarev, Oskar Kurganov, Yuriy Ozerov","Nikolay Olyalin, Mikhail Nozhkin, Larisa Golubkina, Mikhail Ulyanov",01-11-1971,17-02-2021,
88,Amanda,1-2 hour,Mikhaël Hers,"Mikhaël Hers, Maud Ameline","Ophélia Kolb, Vincent Lacoste, Stacy Martin, Isaure Multrier",21-11-2018,17-02-2021,
89,Corpus Christi,1-2 hour,Jan Komasa,Mateusz Pacewicz,"Bartosz Bielenia, Aleksandra Konieczna, Tomasz Zietek, Eliza Rycembel",28-02-2020,17-02-2021,
90,The Shadow,1-2 hour,Russell Mulcahy,"Walter B. Gibson, David Koepp","Penelope Ann Miller, John Lone, Peter Boyle, Alec Baldwin",01-07-1994,17-02-2021,"Universal Pictures, Bregman/Baer Productions"
91,Artysci,< 30 minutes,,,"Marcin Czarnik, Klara Bielawka, Michal Majnicz, Adam Cywka",02-09-2016,17-02-2021,
92,Overcoming,1-2 hour,Tómas Gislason,Tómas Gislason,"Ivan Basso, Michelle Bartoli, Ole Kaare Føli, B.S. Christiansen",28-04-2006,17-02-2021,Nordisk Film
93,Aftermath,1-2 hour,Elliott Lester,Javier Gullón,"Maggie Grace, Judah Nelson, Scoot McNairy, Arnold Schwarzenegger",07-04-2017,17-02-2021,"Protozoa Pictures, Emmett/Furla Films"
94,Awara Paagal Deewana,> 2 hrs,Vikram Bhatt,"Mangesh Kulkarni, Neeraj Vora, Anand S. Vardhan, Khalid Azmi","Sunil Shetty, Aftab Shivdasani, Akshay Kumar, Paresh Rawal",21-06-2002,16-02-2021,Mayank Arts
95,Unhinged,1-2 hour,Derrick Borte,Carl Ellsworth,"Gabriel Bateman, Caren Pistorius, Russell Crowe, Jimmi Simpson",21-08-2020,16-02-2021,
96,John Lewis: Good Trouble,1-2 hour,Dawn Porter,,"Ayanna Pressley, Elijah Cummings, Hillary Clinton, Anthony Johnson",03-07-2020,16-02-2021,
97,Repo Man,1-2 hour,Alex Cox,Alex Cox,"Harry Dean Stanton, Emilio Estevez, Tracey Walter, Olivia Barash",02-03-1984,16-02-2021,Edge City LLC
98,For Love of the Game,> 2 hrs,Sam Raimi,"Dana Stevens, Michael Shaara","Jena Malone, John C. Reilly, Kelly Preston, Kevin Costner",17-09-1999,16-02-2021,"Beacon Communications, Universal Pictures, Tig Productions, Mirage Enterprises"
99,Uppercut,1-2 hour,Michele Lupo,"Rainer Brandt, Marcello Fondato, Francesco Scardamaglia","Ottaviano Dell'Acqua, Bud Spencer, Nando Paone, Raimund Harmstorf",05-10-1978,15-02-2021,
100,The Replacement Killers,1-2 hour,Antoine Fuqua,Ken Sanzel,"Michael Rooker, Yun-Fat Chow, Kenneth Tsang, Mira Sorvino",06-02-1998,15-02-2021,"Columbia Pictures, WCG Entertainment Productions, Brillstein-Grey Entertainment"
101,Then Came You,1-2 hour,Peter Hutchings,Fergal Rock,"Nina Dobrev, Asa Butterfield, Ken Jeong, Maisie Williams",01-02-2019,15-02-2021,"Shout! Factory, Voltage Pictures, BCDF Pictures"
102,Story of Women,1-2 hour,Claude Chabrol,"Colo Tavernier, Francis Szpiner, Claude Chabrol","François Cluzet, Marie Trintignant, Isabelle Huppert, Nils Tavernier",01-02-1990,15-02-2021,"MK2 Productions, Les Films du Camelia, Films A2"
