moviesID,Title,IMDb Score,Rotten Tomatoes Score,Metacritic Score
562,Stavisky...,6.6,91,
563,Widows,6.9,91,84
564,The Night Caller,7,73,
565,The Wretched,5.8,75,61
566,The Professional,7.5,81,
567,Hold-Up,6.6,38,
568,Cop or Hood,6.7,62,
569,City of Joy,6.5,53,
570,Cartouche,6.6,55,
571,Body of My Enemy,6.7,71,
572,Buffaloed,6.2,79,61
573,Ace of Aces,6.7,82,
574,Best of the Best,6.5,72,26
575,1991,7.1,,
576,Space Brothers,6.7,,
577,Tower of God,7.9,,
578,Yashahime: Princess Half-Demon,7.6,,
579,Rich Man,6.7,,
580,Path of the Dragons,6.8,,
581,Olympia Kyklos,6.7,,
582,Moriarty the Patriot,7.7,,
583,Im Standing on a Million Lives,6.5,52,51
584,DRAGON QUEST The Adventure of Dai,8.1,,
585,Double Fantasy,7.1,,
586,Dennou Coil,7.9,,
587,The Day I Became a God,6.6,,
588,Blue Spring Ride,7.4,50,
589,Beelzebub,7.6,,
590,Motherless Brooklyn,6.8,63,60
591,Mothra,6.6,80,
592,Nana,7.1,86,
593,Nightmare Cinema,5.5,77,60
594,Ouran High School Host Club,8.2,,
595,Queen Bee,6.7,57,
596,Rebirth of Mothra III,6,62,
597,Richard Jewell,7.5,,68
598,Rodan,6.3,73,
599,Sand Chronicles,8.7,,
600,Sky of Love,7,76,
601,The Swindlers,6.6,40,
602,The War of the Gargantuas,6.4,67,
603,The Wings of the Kirin,6.6,,
604,The Human Vapor,6.3,73,
605,Hold Up Down,6.6,,
606,Hell Girl,7.5,,
607,The Ghost of Yotsuya,7,71,
608,Frankenstein Conquers the World,5.5,55,
609,Dragon Head,5.6,53,
610,Dororo,8.4,,
611,The Devils Island,7.1,58,
612,The Devils Ballad,7.1,58,
613,Cheese in the Trap,7.4,,
614,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),6.1,78,60
615,Billionaire Boys Club,5.6,7,30
616,American Animals,7,88,68
617,The 8-Year Engagement,7.1,,
618,Third Is My First,7,,
619,Iska,6.6,,
620,Heartbreak High,7.8,,
621,Mosul,8.3,100,
622,Unexpectedly Yours,6.9,,
623,The Call,6.7,44,51
624,The Beast,5.7,67,
625,Operation Valkyrie,6.8,65,
626,Hillbilly Elegy,6.8,,38
627,Andhaghaaram,7.6,,
628,The Suit,6.6,,
629,Whose Streets?,5.4,98,79
630,Voices of Fire,6.9,,
631,If Anything Happens I Love You,7.9,,
632,Heart & Soul,6.7,69,
633,Playing with Fire,5.1,,24
634,Rocketman,7.3,,69
635,Gemini Man,5.7,26,38
636,Crawl,6.1,84,60
637,As Aventuras de Poliana,7.5,,
638,A Wizards Tale,7.6,,
639,My Amnesia Girl,6.8,82,
640,Three Words to Forever,7.5,,
641,"A Genius, Two Partners and a Dupe",6.4,58,
642,Ainu Mosir,6.7,,
643,Survivor,5.6,8,28
644,18 Again,8.2,,
645,Beyblade Burst Rise,7.5,,
646,Arkansas,6,,55
647,Tattoo Fixers on Holiday,6.6,,
648,Dresden,6.6,,
649,A Guy & A Girl,6.4,42,45
650,The Life Ahead,6.8,,66
651,Jingle Jangle: A Christmas Journey,6.5,,69
652,Ethos,7.5,64,
653,Scandal in Sorrento,6.5,61,
654,40 and Single,7.7,,
655,The Liberator,6.8,38,51
656,Trial 4,7.4,,
657,Aunty Donnas Big Ol House of Fun,8.8,,
658,First Love,6.8,,77
659,A Very Special Love,6.7,81,
660,Axolotl Overkill,5.3,64,65
661,The Hero,6.5,78,61
662,Trash Truck,8.4,,
663,A Lion in the House,8.7,100,
664,Girls Revenge,8.1,87,79
665,Who You Think I Am,6.9,,
666,Wrong Kind of Black,7.2,,
667,The SpongeBob Movie: Sponge on the Run,6,80,
668,Carmel: Who Killed Maria Marta?,7.1,,
